ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e161_s251482.safetensors,161,251482,30.118409,32.121328,3.715625,2.986361,2.865146,3.772744,0.00007980
ckpt_e162_s253044.safetensors,162,253044,30.340260,32.548686,3.757767,3.022002,2.877383,3.820333,0.00007957
ckpt_e163_s254606.safetensors,163,254606,30.251070,32.358188,3.730683,2.995501,2.881325,3.793251,0.00007934
ckpt_e164_s256168.safetensors,164,256168,30.025276,33.112703,3.746151,2.986862,2.957351,3.830814,0.00007911
ckpt_e165_s257730.safetensors,165,257730,30.146145,32.178795,3.734402,3.007834,2.853452,3.793134,0.00007888
ckpt_e166_s259292.safetensors,166,259292,29.960303,32.274925,3.735858,3.005608,2.863281,3.790240,0.00007864
ckpt_e167_s260854.safetensors,167,260854,30.395035,32.287084,3.728591,2.995889,2.873747,3.785717,0.00007841
ckpt_e168_s262416.safetensors,168,262416,30.463494,32.129111,3.716345,2.985270,2.865368,3.775287,0.00007817
ckpt_e169_s263978.safetensors,169,263978,32.639604,32.275670,3.733017,2.997135,2.867682,3.794130,0.00007793
ckpt_e170_s265540.safetensors,170,265540,32.854933,32.081923,3.708276,2.974234,2.868855,3.764709,0.00007770
ckpt_e171_s267102.safetensors,171,267102,32.597351,32.061492,3.711587,2.982505,2.863061,3.767578,0.00007746
ckpt_e172_s268664.safetensors,172,268664,32.824127,32.272179,3.719434,2.981924,2.881995,3.784356,0.00007722
ckpt_e173_s270226.safetensors,173,270226,32.846290,32.199578,3.724046,2.993237,2.868223,3.785660,0.00007698
ckpt_e174_s271788.safetensors,174,271788,32.747265,32.179140,3.724726,2.997844,2.861447,3.785054,0.00007674
ckpt_e175_s273350.safetensors,175,273350,32.831690,32.111004,3.725458,3.000401,2.855564,3.780285,0.00007649
ckpt_e176_s274912.safetensors,176,274912,32.623323,32.195127,3.729821,3.001467,2.860756,3.782314,0.00007625
ckpt_e177_s276474.safetensors,177,276474,33.023720,32.652721,3.757644,3.004681,2.886699,3.818692,0.00007601
ckpt_e178_s278036.safetensors,178,278036,32.791484,32.060001,3.718569,2.990984,2.853183,3.770244,0.00007576
ckpt_e179_s279598.safetensors,179,279598,32.910648,32.364834,3.745930,3.010625,2.864168,3.800139,0.00007552
ckpt_e180_s281160.safetensors,180,281160,32.393405,32.235674,3.724008,2.992945,2.873694,3.783461,0.00007527
ckpt_e181_s282722.safetensors,181,282722,32.873571,32.172797,3.729076,3.001748,2.856854,3.786156,0.00007502
ckpt_e182_s284284.safetensors,182,284284,32.625891,32.142622,3.726836,3.000189,2.856943,3.780076,0.00007478
ckpt_e183_s285846.safetensors,183,285846,32.613504,32.169778,3.721135,2.992719,2.864373,3.785024,0.00007453
ckpt_e184_s287408.safetensors,184,287408,32.572457,32.005364,3.714614,2.989952,2.853113,3.770816,0.00007428
ckpt_e185_s288970.safetensors,185,288970,29.941489,32.034479,3.714589,2.989015,2.855361,3.775070,0.00007403
ckpt_e186_s290532.safetensors,186,290532,30.525580,31.951922,3.700301,2.970199,2.861032,3.759473,0.00007378
ckpt_e187_s292094.safetensors,187,292094,29.891699,32.126913,3.726514,2.997461,2.852453,3.783328,0.00007353
ckpt_e188_s293656.safetensors,188,293656,29.731239,32.014000,3.719861,2.996670,2.846433,3.773063,0.00007328
ckpt_e189_s295218.safetensors,189,295218,29.869590,31.962429,3.706686,2.978433,2.853812,3.761348,0.00007302
ckpt_e190_s296780.safetensors,190,296780,29.808841,31.952143,3.700433,2.968920,2.860721,3.759126,0.00007277
ckpt_e191_s298342.safetensors,191,298342,30.176975,32.103409,3.726389,3.003102,2.849839,3.778036,0.00007252
ckpt_e192_s299904.safetensors,192,299904,30.164928,32.184543,3.736701,3.013037,2.848991,3.789870,0.00007226
ckpt_e193_s301466.safetensors,193,301466,32.375453,31.892162,3.699976,2.971893,2.851920,3.755304,0.00007201
ckpt_e194_s303028.safetensors,194,303028,32.607260,31.984644,3.707606,2.978620,2.857791,3.757376,0.00007175
ckpt_e195_s304590.safetensors,195,304590,32.331155,31.815931,3.700494,2.977637,2.841267,3.754509,0.00007149
ckpt_e196_s306152.safetensors,196,306152,32.575747,32.577269,3.749134,3.011790,2.887339,3.818365,0.00007124
ckpt_e197_s307714.safetensors,197,307714,32.454176,32.342228,3.717271,2.979689,2.890696,3.791027,0.00007098
ckpt_e198_s309276.safetensors,198,309276,32.553602,32.209152,3.717333,2.984891,2.874815,3.779149,0.00007072
ckpt_e199_s310838.safetensors,199,310838,32.611116,31.982613,3.709887,2.980975,2.854438,3.767338,0.00007046
ckpt_e200_s312400.safetensors,200,312400,32.309550,32.046272,3.716652,2.990217,2.855406,3.770133,0.00007020
ckpt_e201_s313962.safetensors,201,313962,32.796666,31.928731,3.702379,2.976389,2.853282,3.757192,0.00006994
ckpt_e202_s315524.safetensors,202,315524,32.526450,31.916839,3.713766,2.991931,2.838997,3.767155,0.00006968
ckpt_e203_s317086.safetensors,203,317086,32.533081,31.864895,3.711416,2.992589,2.835459,3.758997,0.00006942
ckpt_e204_s318648.safetensors,204,318648,31.973768,32.051624,3.717561,2.988644,2.856492,3.773826,0.00006916
ckpt_e205_s320210.safetensors,205,320210,32.499332,31.895827,3.706973,2.979870,2.845792,3.759496,0.00006890
ckpt_e206_s321772.safetensors,206,321772,32.471824,31.999935,3.707235,2.979116,2.857481,3.765983,0.00006864
ckpt_e207_s323334.safetensors,207,323334,32.513193,31.930071,3.721264,3.001608,2.834718,3.768106,0.00006837
ckpt_e208_s324896.safetensors,208,324896,32.474523,31.963209,3.723908,3.006707,2.834448,3.775591,0.00006811
ckpt_e209_s326458.safetensors,209,326458,29.779102,31.947200,3.710173,2.983406,2.848701,3.761846,0.00006784
ckpt_e210_s328020.safetensors,210,328020,29.930593,31.895894,3.708570,2.985059,2.842103,3.762132,0.00006758
ckpt_e211_s329582.safetensors,211,329582,29.842425,31.869667,3.705596,2.984027,2.840996,3.757645,0.00006731
ckpt_e212_s331144.safetensors,212,331144,29.595056,32.047450,3.710612,2.981785,2.861437,3.764989,0.00006705
ckpt_e213_s332706.safetensors,213,332706,29.799261,31.965885,3.712777,2.990151,2.847486,3.765462,0.00006678
ckpt_e214_s334268.safetensors,214,334268,29.426611,32.293689,3.724933,2.991091,2.874459,3.786772,0.00006652
ckpt_e215_s335830.safetensors,215,335830,30.076814,31.822488,3.696629,2.971136,2.846048,3.753274,0.00006625
