ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e159_s248358.safetensors,159,248358,25.662251,24.884534,2.708981,1.921191,2.858595,2.186927,0.00008026
ckpt_e160_s249920.safetensors,160,249920,25.671138,24.793017,2.702663,1.916332,2.848229,2.172578,0.00008003
ckpt_e161_s251482.safetensors,161,251482,23.601488,24.807350,2.705870,1.919759,2.847535,2.183055,0.00007980
ckpt_e162_s253044.safetensors,162,253044,23.843347,24.984577,2.740145,1.959883,2.842565,2.223282,0.00007957
ckpt_e163_s254606.safetensors,163,254606,23.517109,24.715703,2.700950,1.917920,2.840657,2.165404,0.00007934
ckpt_e164_s256168.safetensors,164,256168,23.357926,24.879507,2.723423,1.940068,2.847616,2.211076,0.00007911
ckpt_e165_s257730.safetensors,165,257730,23.563215,24.824773,2.707271,1.919775,2.849524,2.181201,0.00007888
ckpt_e166_s259292.safetensors,166,259292,23.336835,24.799816,2.711459,1.926132,2.843931,2.183321,0.00007864
ckpt_e167_s260854.safetensors,167,260854,23.775316,24.807564,2.709262,1.925748,2.843265,2.182989,0.00007841
ckpt_e168_s262416.safetensors,168,262416,23.876446,24.803606,2.710154,1.928115,2.845262,2.181582,0.00007817
ckpt_e169_s263978.safetensors,169,263978,25.554349,24.633638,2.692004,1.911162,2.835928,2.157381,0.00007793
ckpt_e170_s265540.safetensors,170,265540,25.592969,24.618136,2.693347,1.912040,2.833865,2.163987,0.00007770
ckpt_e171_s267102.safetensors,171,267102,25.437684,24.712815,2.721377,1.946407,2.825169,2.202209,0.00007746
ckpt_e172_s268664.safetensors,172,268664,25.623849,24.602619,2.705249,1.928712,2.817917,2.167786,0.00007722
ckpt_e173_s270226.safetensors,173,270226,25.592259,24.592590,2.702635,1.926040,2.822966,2.172635,0.00007698
ckpt_e174_s271788.safetensors,174,271788,25.539646,24.679662,2.701331,1.921422,2.833417,2.165640,0.00007674
ckpt_e175_s273350.safetensors,175,273350,25.733330,24.676192,2.710164,1.930958,2.829804,2.175951,0.00007649
