ckpt_name,epoch,step,loss_test,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e224_s87360.safetensors,224,87360,32.030658,32.058948,3.016793,1.887229,3.437940,2.697221,0.00006397
ckpt_e225_s87750.safetensors,225,87750,32.498430,32.311030,3.082263,1.960076,3.417130,2.782509,0.00006370
ckpt_e226_s88140.safetensors,226,88140,32.129360,32.488227,3.092232,1.960842,3.433398,2.803783,0.00006343
ckpt_e227_s88530.safetensors,227,88530,33.189733,32.139072,3.038453,1.911996,3.432820,2.727156,0.00006316
ckpt_e228_s88920.safetensors,228,88920,31.725079,32.102900,3.031824,1.904338,3.432471,2.723819,0.00006289
ckpt_e229_s89310.safetensors,229,89310,32.689818,32.189803,3.032390,1.901880,3.442478,2.719446,0.00006262
ckpt_e230_s89700.safetensors,230,89700,33.403245,31.985049,3.015070,1.890934,3.433203,2.695908,0.00006235
ckpt_e231_s90090.safetensors,231,90090,32.889957,32.034871,3.035068,1.908792,3.423287,2.724654,0.00006208
ckpt_e232_s90480.safetensors,232,90480,33.080380,32.256051,3.037262,1.902925,3.447302,2.726965,0.00006180
ckpt_e233_s90870.safetensors,233,90870,28.760157,31.992594,3.024261,1.899916,3.428612,2.707430,0.00006153
ckpt_e234_s91260.safetensors,234,91260,29.187149,32.281425,3.097110,1.984681,3.403727,2.809083,0.00006126
ckpt_e235_s91650.safetensors,235,91650,29.072404,32.144668,3.036842,1.907883,3.435071,2.725446,0.00006098
ckpt_e236_s92040.safetensors,236,92040,29.315834,32.006438,3.032638,1.913064,3.424069,2.718861,0.00006071
ckpt_e237_s92430.safetensors,237,92430,29.970239,32.266666,3.081841,1.956530,3.414329,2.790439,0.00006044
