ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e8_s266000.safetensors,8,266000,12.334649,2.003401,0.670983,3.735924,0.00008151
ckpt_e8_s267000.safetensors,8,267000,12.313276,1.939558,0.602211,3.745012,0.00008138
ckpt_e8_s268000.safetensors,8,268000,12.308332,1.919126,0.565132,3.749446,0.00008125
ckpt_e8_s269000.safetensors,8,269000,12.302111,1.942424,0.602907,3.753554,0.00008112
ckpt_e8_s270000.safetensors,8,270000,12.304470,1.949269,0.585439,3.743482,0.00008099
ckpt_e8_s271000.safetensors,8,271000,12.297079,1.990139,0.647782,3.734930,0.00008086
ckpt_e8_s272000.safetensors,8,272000,12.283750,1.954000,0.614593,3.733001,0.00008073
ckpt_e8_s273000.safetensors,8,273000,12.294889,1.898907,0.531783,3.756362,0.00008060
ckpt_e8_s274000.safetensors,8,274000,12.293006,2.011651,0.679124,3.716194,0.00008047
ckpt_e8_s275000.safetensors,8,275000,12.280915,1.991261,0.633621,3.734771,0.00008034
ckpt_e8_s276000.safetensors,8,276000,12.283819,1.913984,0.563649,3.742367,0.00008021
ckpt_e8_s277000.safetensors,8,277000,12.277960,1.894289,0.557934,3.739263,0.00008008
ckpt_e8_s278000.safetensors,8,278000,12.268884,1.981308,0.610038,3.743339,0.00007994
ckpt_e8_s279000.safetensors,8,279000,12.264267,1.980828,0.634560,3.732765,0.00007981
ckpt_e8_s280000.safetensors,8,280000,12.264588,1.849011,0.496214,3.754956,0.00007968
ckpt_e8_s281000.safetensors,8,281000,12.261716,1.934460,0.574282,3.758189,0.00007954
ckpt_e8_s282000.safetensors,8,282000,12.255279,1.910812,0.556420,3.738693,0.00007941
ckpt_e8_s283000.safetensors,8,283000,12.248924,1.893041,0.529716,3.753650,0.00007928
ckpt_e8_s284000.safetensors,8,284000,12.255416,1.910200,0.567471,3.733832,0.00007914
ckpt_e8_s285000.safetensors,8,285000,12.250442,1.993036,0.638158,3.724441,0.00007901
ckpt_e8_s286000.safetensors,8,286000,12.237999,1.903847,0.547267,3.731197,0.00007887
ckpt_e8_s287000.safetensors,8,287000,12.237269,1.872711,0.526027,3.744916,0.00007874
