ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e5_s155000.safetensors,5,155000,24.092893,1.810190,0.545452,3.569692,0.00009341
ckpt_e5_s156000.safetensors,5,156000,24.079836,1.938712,0.692907,3.558501,0.00009333
ckpt_e5_s157000.safetensors,5,157000,24.049727,1.966414,0.728885,3.532735,0.00009324
ckpt_e5_s158000.safetensors,5,158000,24.022130,1.904633,0.643340,3.538685,0.00009316
ckpt_e5_s159000.safetensors,5,159000,23.982062,1.884395,0.615664,3.562474,0.00009307
ckpt_e5_s160000.safetensors,5,160000,23.967246,1.846393,0.559405,3.565087,0.00009299
ckpt_e5_s161000.safetensors,5,161000,23.944547,1.868687,0.606469,3.554493,0.00009290
ckpt_e5_s162000.safetensors,5,162000,23.939275,1.811581,0.519056,3.569637,0.00009282
ckpt_e5_s163000.safetensors,5,163000,23.914903,1.843971,0.577848,3.555404,0.00009273
ckpt_e5_s164000.safetensors,5,164000,23.923996,1.816861,0.544048,3.567667,0.00009264
ckpt_e5_s165000.safetensors,5,165000,23.942215,1.816609,0.528263,3.560290,0.00009256
ckpt_e5_s166000.safetensors,5,166000,23.896670,1.897640,0.637341,3.537893,0.00009247
ckpt_e5_s167000.safetensors,5,167000,23.891634,1.772046,0.485431,3.572801,0.00009238
ckpt_e5_s168000.safetensors,5,168000,23.874905,1.760220,0.478340,3.575789,0.00009229
ckpt_e5_s169000.safetensors,5,169000,23.852323,1.919736,0.606958,3.546365,0.00009220
ckpt_e5_s170000.safetensors,5,170000,23.829261,1.852342,0.589076,3.549180,0.00009211
ckpt_e5_s171000.safetensors,5,171000,23.810767,1.820374,0.512859,3.552658,0.00009202
ckpt_e5_s172000.safetensors,5,172000,23.792579,1.787596,0.515605,3.551719,0.00009193
ckpt_e5_s173000.safetensors,5,173000,23.765347,1.810222,0.554399,3.551689,0.00009184
ckpt_e5_s174000.safetensors,5,174000,23.761362,1.836467,0.544306,3.553942,0.00009175
ckpt_e5_s175000.safetensors,5,175000,23.732975,1.875454,0.627375,3.529273,0.00009165
ckpt_e5_s176000.safetensors,5,176000,23.714542,1.807749,0.545168,3.535555,0.00009156
ckpt_e5_s177000.safetensors,5,177000,23.704016,1.858352,0.574011,3.535006,0.00009147
ckpt_e5_s178000.safetensors,5,178000,23.683955,1.841246,0.581190,3.524576,0.00009138
ckpt_e5_s179000.safetensors,5,179000,23.666426,1.842325,0.590429,3.527277,0.00009128
ckpt_e5_s180000.safetensors,5,180000,23.649045,1.830194,0.577174,3.515132,0.00009119
ckpt_e5_s181000.safetensors,5,181000,23.634964,1.788344,0.519089,3.529686,0.00009109
ckpt_e5_s182000.safetensors,5,182000,23.621164,1.852530,0.578308,3.517839,0.00009100
ckpt_e5_s183000.safetensors,5,183000,23.589291,1.772084,0.530819,3.512682,0.00009090
ckpt_e5_s184000.safetensors,5,184000,23.587750,1.880681,0.598187,3.512700,0.00009081
ckpt_e5_s185000.safetensors,5,185000,23.570871,1.719941,0.449099,3.532435,0.00009071
ckpt_e6_s186000.safetensors,6,186000,23.973713,1.718318,0.457851,3.530837,0.00009061
ckpt_e6_s187000.safetensors,6,187000,23.598861,1.716311,0.451112,3.525881,0.00009051
ckpt_e6_s188000.safetensors,6,188000,23.609065,1.827135,0.589788,3.487123,0.00009042
ckpt_e6_s189000.safetensors,6,189000,23.595469,1.799491,0.559987,3.504777,0.00009032
ckpt_e6_s190000.safetensors,6,190000,23.570771,1.737278,0.501407,3.511158,0.00009022
ckpt_e6_s191000.safetensors,6,191000,23.563469,1.888708,0.642916,3.469038,0.00009012
ckpt_e6_s192000.safetensors,6,192000,23.568226,1.734938,0.451054,3.503998,0.00009002
ckpt_e6_s193000.safetensors,6,193000,23.521935,2.004265,0.798093,3.444905,0.00008992
ckpt_e6_s194000.safetensors,6,194000,23.503738,1.727201,0.491334,3.501657,0.00008982
ckpt_e6_s195000.safetensors,6,195000,23.487809,1.724228,0.476760,3.487267,0.00008972
ckpt_e6_s196000.safetensors,6,196000,23.448722,1.789630,0.533414,3.481657,0.00008962
ckpt_e6_s197000.safetensors,6,197000,23.407845,1.808303,0.546799,3.493475,0.00008951
ckpt_e6_s198000.safetensors,6,198000,23.412777,1.810062,0.583445,3.484979,0.00008941
ckpt_e6_s199000.safetensors,6,199000,23.397346,1.758816,0.508536,3.484951,0.00008931
ckpt_e6_s200000.safetensors,6,200000,23.363990,1.650313,0.379031,3.501736,0.00008921
